"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000005073.6",71.1483836148614,4.13174525467317,1.14870987433874,3.59685708895957,0.000322085322370309,0.0299813231881233
"ENSG00000006555.11",1394.64401963925,1.37145184910024,0.366127043791524,3.74583596693052,0.000179794048217808,0.0214865664523002
"ENSG00000006611.17",4384.14545396141,1.9359700204048,0.554711359687399,3.49004935016257,0.000482931357140536,0.0364087670822729
"ENSG00000011426.11",1318.21476604598,2.13525880066454,0.590477443366539,3.61615642502888,0.00029900972990831,0.0286451524473559
"ENSG00000016490.16",288.232934114249,6.75076062361416,1.83112096448697,3.68668195850488,0.000227197008840791,0.0246734148450236
"ENSG00000019102.12",4395.35069706528,2.81086884153476,0.768525568959207,3.65748252896966,0.000254704614664386,0.0260093327967173
"ENSG00000019186.10",171.157397118539,3.98077780304928,1.1959826425012,3.32845784009384,0.000873282214555307,0.0488734445107057
"ENSG00000043355.12",75.1023190598046,8.04093252368884,1.48290194829134,5.42243034541424,5.87941274978323e-08,0.000134084907269431
"ENSG00000053747.17",12974.4426758866,2.3812937639949,0.626210301496133,3.80270614888568,0.000143124082683061,0.0192949594620065
"ENSG00000060140.9",577.596826067414,2.73980837301154,0.589648530921099,4.64651097956888,3.37596173107346e-06,0.00236897294087916
"ENSG00000064270.13",882.614765276031,2.22734734906481,0.601607295884692,3.70232768834591,0.000213630447773413,0.0236697346729352
"ENSG00000069764.10",266.419874393914,3.03163561105502,0.800828470895274,3.78562416451784,0.000153323254563625,0.0196344061631861
"ENSG00000074211.14",765.394507681346,3.89957551324902,0.86487673661138,4.50882229591202,6.51884813260439e-06,0.00339418493933898
"ENSG00000076356.7",4097.67118277017,1.5655865969095,0.356311146784931,4.39387487884145,1.1134791807692e-05,0.00461705829395618
"ENSG00000079385.23",3471.17580947458,1.89628986133421,0.548295573014297,3.45851754904606,0.000543156886538719,0.038509260398718
"ENSG00000086159.13",73.808274105885,3.40277329264872,0.919769959922294,3.69959168152894,0.000215946620376254,0.023734181364807
"ENSG00000088836.14",995.372679733287,2.64418194808769,0.636991419589586,4.15104798396082,3.30956364035976e-05,0.00887048203733786
"ENSG00000089356.18",205.438812331209,3.64094479744933,0.686655082710087,5.30243624365128,1.14267379748254e-07,0.000240550413966959
"ENSG00000090402.8",133.068763079109,21.8832043170964,2.1124526555459,10.3591454509741,3.80344821798066e-25,1.04088967381477e-20
"ENSG00000092607.15",264.739342038515,2.86224131640825,0.802133746399607,3.56828437807969,0.000359326386411915,0.0310210890124128
"ENSG00000094804.12",535.065381902677,1.65149263566651,0.481152554067654,3.43236801240027,0.000598335041086691,0.0400357825658178
"ENSG00000095539.15",1469.19455332036,1.82160646923525,0.520022178967261,3.50293995700889,0.000460153176024153,0.0355588598259562
"ENSG00000099812.9",7359.99748762511,2.32053075152086,0.591261989329669,3.92470815543497,8.68349466152122e-05,0.0145792146258804
"ENSG00000099834.19",2314.59866312141,2.8314322177107,0.84435240643415,3.35337732934088,0.000798317923962747,0.04629122087755
"ENSG00000100994.12",15702.9434256318,1.59784943499989,0.437261601891159,3.65421850006764,0.000257966515862512,0.0261472949615162
"ENSG00000101188.5",625.086691352444,4.68983836923086,1.14154949417308,4.10830927013647,3.9856615716144e-05,0.0100995926139233
